description,price/TB,idle,noise
"Toshiba S300 Pro Surveillance 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s, bulk - - - HDWT380UZSVA - - - €215.99",27,6.33,34
"Seagate SkyHawk +Rescue 6TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST6000VX001 - - - €162.13",27.02,3.4,25
"Western Digital WD Blue 6TB, 512e / 3.5 / SATA 6Gb/s - - - WD60EZAX - - - €163.34",27.22,3.1,23
"Western Digital WD Gold 24TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD241KRYZ - - - €654.34",27.26,5.5,20
"Western Digital Ultrastar DC HC520 12TB, ISE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - HUH721212ALE600 / 0F30144 - - - €328.68",27.39,5.3,20
"Western Digital WD Purple 6TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD62PURZ - - - €164.94",27.49,5.5,25
"Western Digital Ultrastar DC HC330 10TB, SE, 24/7, 512e / 3.5 / SAS 12Gb/s - - - WUS721010AL5204 / 0B42258 - - - €274.91",27.49,9,34
"Seagate SkyHawk +Rescue 2TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST2000VX017 - - - €55.04",27.52,2.5,26
"Western Digital WD Gold 24TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD242KRYZ - - - €660.59",27.52,5.6,20
"Toshiba N300 NAS Systems 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s, bulk - - - MN10ADA400ES - - - €110.42",27.61,3.49,34
"Western Digital WD Purple Pro 10TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD102PURP - - - €276.43",27.64,8.2,34
"Western Digital WD Purple Pro 24TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD240PURP - - - €665",27.71,5.9,20
"Seagate IronWolf Pro NAS HDD +Rescue 10TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST10000NT001 - - - €277.31",27.73,7.8,28
"Seagate IronWolf Pro NAS HDD +Rescue 12TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST12000NE0008 - - - €332.9",27.74,5,20
"Seagate Constellation ES.3 4TB, 24/7, 512n / 3.5 / SATA 6Gb/s - - - ST4000NM0033 - - - €111",27.75,6.73,28
"Western Digital Ultrastar DC HC520 12TB, ISE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - HUH721212ALE600 / 0F29590 - - - €333.03",27.75,5.3,20
